Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Order Date,Month,Year,Quarter,Stock_Level,Reorder_Point,Shelf_Life_Days,Days_To_Expiry,Near_Expiry,Low_Stock,Profit_Margin,Is_Anomaly,Anomaly_Score
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Art,1.68,1,0.0,0.84,2016-06-17,6,2016,2,369,105,365,-213,1,0,50.0,0,1
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Technology,Accessories,13.98,2,0.0,6.1512,2015-11-24,11,2015,4,207,54,365,-418,1,0,44.0,0,1
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Binders,25.824,6,0.2,9.3612,2015-11-24,11,2015,4,378,120,730,-66,1,0,36.25,0,1
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,146.73,3,0.0,68.9631,2015-11-24,11,2015,4,495,150,730,-60,1,0,47.0,0,1
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,Furnishings,79.76,4,0.0,22.3328,2015-11-24,11,2015,4,222,60,1825,1048,0,0,27.999999999999996,0,1
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Furniture,Chairs,213.115,5,0.3,-15.2225,2015-04-30,4,2015,2,51,24,1825,816,0,0,-7.142857142857142,0,1
Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Office Supplies,Art,1113.024,8,0.2,111.3024,2014-12-05,12,2014,4,339,105,365,-778,1,0,10.000000000000002,0,1
Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Technology,Phones,167.968,4,0.2,62.988,2014-12-05,12,2014,4,147,45,540,-597,1,0,37.5,0,1
First Class,Consumer,United States,Springfield,Virginia,22153,South,Office Supplies,Paper,75.88,2,0.0,35.6636,2016-06-04,6,2016,2,516,150,730,156,0,0,47.00000000000001,0,1
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Binders,4.616,1,0.2,1.731,2016-09-18,9,2016,3,429,120,730,248,0,0,37.50000000000001,0,1
Second Class,Consumer,United States,Jackson,Michigan,49201,Central,Office Supplies,Paper,19.05,3,0.0,8.763,2017-09-14,9,2017,3,476,150,730,592,0,0,46.0,0,1
Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Chairs,831.936,8,0.2,-114.3912,2015-04-26,4,2015,2,93,24,1825,787,0,0,-13.749999999999998,0,1
Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Furnishings,97.04,2,0.2,1.213,2015-04-26,4,2015,2,177,60,1825,838,0,0,1.25,0,1
Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Office Supplies,Storage,72.784,1,0.2,-18.196,2015-04-26,4,2015,2,236,66,1095,102,0,0,-25.0,0,1
First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Binders,1.248,3,0.8,-1.9344,2017-12-09,12,2017,4,404,120,730,682,0,0,-154.99999999999997,0,1
First Class,Corporate,United States,Houston,Texas,77041,Central,Furniture,Furnishings,9.708,3,0.6,-5.8248,2017-12-09,12,2017,4,183,60,1825,1781,0,0,-60.0,0,1
First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Storage,27.24,3,0.2,2.724,2017-12-09,12,2017,4,206,66,1095,1015,0,0,10.000000000000002,0,1
Second Class,Consumer,United States,Houston,Texas,77070,Central,Furniture,Furnishings,19.3,5,0.6,-14.475,2014-11-26,11,2014,4,205,60,1825,661,0,0,-75.0,0,1
First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Appliances,208.16,1,0.0,56.2032,2016-06-12,6,2016,2,119,30,730,143,0,0,27.0,0,1
First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Binders,16.74,3,0.0,8.0352,2016-06-12,6,2016,2,409,120,730,138,0,0,48.00000000000001,0,1
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Art,14.9,5,0.0,4.172,2014-10-12,10,2014,4,323,105,365,-828,1,0,27.999999999999996,0,1
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Storage,21.39,1,0.0,6.2031,2014-10-12,10,2014,4,191,66,1095,-124,1,0,28.999999999999996,0,1
Standard Class,Corporate,United States,Durham,North Carolina,27707,South,Office Supplies,Envelopes,200.984,7,0.2,62.8075,2015-09-03,9,2015,3,425,135,365,-495,1,0,31.25,0,1
First Class,Home Office,United States,Chicago,Illinois,60623,Central,Office Supplies,Storage,230.376,3,0.2,-48.9549,2017-11-13,11,2017,4,243,66,1095,1029,0,0,-21.25,0,1
Second Class,Consumer,United States,Columbia,South Carolina,29203,South,Furniture,Chairs,301.96,2,0.0,33.2156,2017-05-28,5,2017,2,91,24,1825,1609,0,0,11.000000000000002,0,1
Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Technology,Accessories,19.99,1,0.0,6.7966,2017-10-26,10,2017,4,153,54,365,280,0,0,34.0,0,1
Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Labels,6.16,2,0.0,2.9568,2017-10-26,10,2017,4,623,180,365,252,0,0,48.0,0,1
Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Storage,158.368,7,0.2,13.8572,2016-04-05,4,2016,2,218,66,1095,417,0,0,8.75,0,1
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Art,20.1,3,0.0,6.633,2016-09-17,9,2016,3,337,105,365,-104,1,0,32.99999999999999,0,1
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Technology,Phones,73.584,2,0.2,8.2782,2016-09-17,9,2016,3,145,45,540,62,0,0,11.249999999999998,0,1
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Paper,6.48,1,0.0,3.1104,2016-09-17,9,2016,3,513,150,730,215,0,0,47.99999999999999,0,1
Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Paper,12.96,2,0.0,6.2208,2015-01-31,1,2015,1,503,150,730,-392,1,0,47.99999999999999,0,1
Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Furniture,Furnishings,53.34,3,0.0,16.5354,2015-01-31,1,2015,1,179,60,1825,703,0,0,30.999999999999993,0,1
Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Binders,32.96,2,0.0,16.1504,2015-01-31,1,2015,1,405,120,730,-365,1,0,49.00000000000001,0,1
Standard Class,Home Office,United States,Portland,Oregon,97206,West,Office Supplies,Binders,5.682,1,0.7,-3.788,2017-11-06,11,2017,4,383,120,730,638,0,0,-66.66666666666666,0,1
Second Class,Home Office,United States,New York City,New York,10009,East,Furniture,Furnishings,96.53,7,0.0,40.5426,2017-11-09,11,2017,4,200,60,1825,1715,0,0,42.0,0,1
First Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Binders,51.312,3,0.2,17.9592,2017-06-17,6,2017,2,417,120,730,513,0,0,35.0,0,1
Standard Class,Corporate,United States,Saint Paul,Minnesota,55106,Central,Office Supplies,Appliances,77.88,6,0.0,22.5852,2016-09-06,9,2016,3,84,30,730,233,0,0,29.000000000000004,0,1
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Paper,64.624,7,0.2,22.6184,2016-08-29,8,2016,3,477,150,730,195,0,0,35.0,0,1
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Technology,Accessories,95.976,3,0.2,-10.7973,2016-08-29,8,2016,3,163,54,365,-168,1,0,-11.25,0,1
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Binders,1.788,3,0.8,-3.0396,2016-08-29,8,2016,3,392,120,730,211,0,0,-170.0,0,1
Second Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Paper,23.92,4,0.0,11.7208,2016-12-01,12,2016,4,529,150,730,310,0,0,49.0,0,1
Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Technology,Accessories,238.896,6,0.2,-26.8758,2015-11-13,11,2015,4,206,54,365,-440,1,0,-11.250000000000002,0,1
Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Furniture,Furnishings,102.36,3,0.2,-3.8385,2015-11-13,11,2015,4,209,60,1825,1030,0,0,-3.75,0,1
Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Office Supplies,Binders,36.882,3,0.7,-25.8174,2015-11-13,11,2015,4,390,120,730,-106,1,0,-70.0,0,1
Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Accessories,74.112,8,0.2,17.6016,2017-11-23,11,2017,4,165,54,365,290,0,0,23.750000000000004,0,1
Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Phones,27.992,1,0.2,2.0994,2017-11-23,11,2017,4,164,45,540,455,0,0,7.5,0,1
Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Office Supplies,Art,3.304,1,0.2,1.0738,2017-11-23,11,2017,4,337,105,365,300,0,0,32.50000000000001,0,1
Standard Class,Home Office,United States,Orland Park,Illinois,60462,Central,Technology,Accessories,339.96,5,0.2,67.992,2015-10-15,10,2015,4,196,54,365,-459,1,0,20.000000000000004,0,1
Standard Class,Corporate,United States,New York City,New York,10035,East,Furniture,Furnishings,41.96,2,0.0,10.9096,2017-12-25,12,2017,4,222,60,1825,1777,0,0,25.999999999999996,0,1
Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Art,75.96,2,0.0,22.788,2016-11-03,11,2016,4,343,105,365,-64,1,0,30.000000000000004,0,1
Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Binders,27.24,6,0.0,13.3476,2016-11-03,11,2016,4,395,120,730,255,0,0,49.00000000000001,0,1
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,40.096,14,0.2,14.5348,2014-08-25,8,2014,3,694,210,365,-888,1,0,36.25000000000001,1,-1
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,4.72,2,0.2,1.652,2014-08-25,8,2014,3,479,135,365,-891,1,0,35.0,0,1
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,23.976,3,0.2,7.4925,2014-08-25,8,2014,3,529,150,730,-499,1,0,31.25,0,1
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,130.464,6,0.2,44.0316,2014-08-25,8,2014,3,479,135,365,-893,1,0,33.75,0,1
Standard Class,Consumer,United States,Seattle,Washington,98103,West,Furniture,Tables,787.53,3,0.0,165.3813,2015-03-02,3,2015,1,74,18,1825,774,0,0,21.000000000000004,0,1
Standard Class,Corporate,United States,Bristol,Tennessee,37620,South,Office Supplies,Binders,157.794,1,0.7,-115.7156,2015-04-05,4,2015,2,410,120,730,-329,1,0,-73.33333333333333,1,-1
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Furniture,Furnishings,47.04,3,0.0,18.3456,2016-06-12,6,2016,2,198,60,1825,1222,0,0,39.0,0,1
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Binders,30.84,4,0.0,13.878,2016-06-12,6,2016,2,384,120,730,106,0,0,45.0,0,1
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Storage,226.56,6,0.0,63.4368,2016-06-12,6,2016,2,234,66,1095,521,0,0,27.999999999999996,0,1
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Envelopes,115.02,9,0.0,51.759,2016-06-12,6,2016,2,420,135,365,-259,1,0,45.0,0,1
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Technology,Phones,68.04,7,0.0,19.7316,2016-06-12,6,2016,2,144,45,540,-34,1,0,28.999999999999996,0,1
Second Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,600.558,3,0.3,-8.5794,2014-12-26,12,2014,4,56,24,1825,680,0,0,-1.4285714285714286,0,1
Standard Class,Consumer,United States,Bloomington,Illinois,61701,Central,Furniture,Tables,617.7,6,0.5,-407.682,2014-09-20,9,2014,3,38,18,1825,621,0,0,-66.0,1,-1
Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Binders,2.388,2,0.7,-1.8308,2017-11-05,11,2017,4,393,120,730,625,0,0,-76.66666666666667,0,1
Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Storage,243.992,7,0.2,30.499,2017-11-05,11,2017,4,190,66,1095,1006,0,0,12.5,0,1
Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,Chairs,81.424,2,0.2,-9.1602,2016-11-06,11,2016,4,93,24,1825,1389,0,0,-11.249999999999998,0,1
Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,Furnishings,238.56,3,0.0,26.2416,2016-11-06,11,2016,4,177,60,1825,1402,0,0,10.999999999999998,0,1
First Class,Corporate,United States,Columbus,Ohio,43229,East,Technology,Phones,59.97,5,0.4,-11.994,2017-02-02,2,2017,1,143,45,540,196,0,0,-20.0,0,1
First Class,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,78.304,2,0.2,29.364,2017-02-02,2,2017,1,480,150,730,372,0,0,37.5,0,1
First Class,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,21.456,9,0.2,6.9732,2017-02-02,2,2017,1,720,210,365,5,1,0,32.5,0,1
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper,20.04,3,0.0,9.6192,2016-10-13,10,2016,4,486,150,730,284,0,0,48.0,0,1
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper,35.44,1,0.0,16.6568,2016-10-13,10,2016,4,477,150,730,249,0,0,47.0,0,1
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Art,11.52,4,0.0,3.456,2016-10-13,10,2016,4,354,105,365,-97,1,0,30.0,0,1
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Fasteners,4.02,2,0.0,1.9698,2016-10-13,10,2016,4,704,210,365,-102,1,0,49.00000000000001,0,1
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Binders,76.176,3,0.2,26.6616,2016-10-13,10,2016,4,402,120,730,260,0,0,35.0,0,1
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Supplies,65.88,6,0.0,18.4464,2016-10-13,10,2016,4,148,36,730,276,0,0,28.000000000000004,0,1
Standard Class,Consumer,United States,Roseville,California,95661,West,Furniture,Furnishings,43.12,14,0.0,20.6976,2016-10-13,10,2016,4,174,60,1825,1381,0,0,48.00000000000001,0,1
Second Class,Corporate,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,82.8,2,0.2,10.35,2016-09-05,9,2016,3,211,60,1825,1302,0,0,12.5,0,1
Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Art,8.82,3,0.0,2.3814,2017-09-18,9,2017,3,358,105,365,249,0,0,27.0,0,1
Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Envelopes,10.86,3,0.0,5.1042,2017-09-18,9,2017,3,477,135,365,241,0,0,47.0,0,1
Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Paper,143.7,3,0.0,68.976,2017-09-18,9,2017,3,510,150,730,597,0,0,48.00000000000001,0,1
Standard Class,Consumer,United States,Independence,Missouri,64055,Central,Office Supplies,Appliances,839.43,3,0.0,218.2518,2017-12-22,12,2017,4,97,30,730,700,0,0,26.0,0,1
Standard Class,Consumer,United States,Pasadena,California,91104,West,Office Supplies,Storage,671.93,7,0.0,20.1579,2015-09-07,9,2015,3,196,66,1095,203,0,0,3.0000000000000004,0,1
Standard Class,Home Office,United States,Newark,Ohio,43055,East,Furniture,Furnishings,93.888,4,0.2,12.9096,2014-10-22,10,2014,4,178,60,1825,641,0,0,13.749999999999998,0,1
Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Technology,Phones,384.45,11,0.0,103.8015,2016-12-05,12,2016,4,127,45,540,113,0,0,27.0,0,1
Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Technology,Phones,149.97,3,0.0,5.9988,2016-12-05,12,2016,4,131,45,540,96,0,0,4.0,0,1
Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Furniture,Chairs,1951.84,8,0.0,585.552,2016-12-05,12,2016,4,83,24,1825,1432,0,0,30.000000000000004,1,-1
